"DISTRITO","UNIDADE","TRIMESTRE","ESPECIALIDADE","VALOR"
"Norte","CS CACHOEIRA BOM JESUS","2018 Q1","Enfermeiro",1000
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q1","Enfermeiro",286
"Sul","CS CAMPECHE","2018 Q1","Enfermeiro",703
"Norte","CS CANASVIEIRAS","2018 Q1","Enfermeiro",2190
"Sul","CS CANTO DA LAGOA","2018 Q1","Enfermeiro",128
"Continente","CS CAPOEIRAS","2018 Q1","Enfermeiro",1105
"Sul","CS CARIANOS","2018 Q1","Enfermeiro",937
"Centro","CS CENTRO","2018 Q1","Enfermeiro",1374
"Continente","CS COLONINHA","2018 Q1","Enfermeiro",933
"Continente","CS COQUEIROS","2018 Q1","Enfermeiro",1051
"Centro","CS CÓRREGO GRANDE","2018 Q1","Enfermeiro",1290
"Sul","CS COSTA DA LAGOA","2018 Q1","Enfermeiro",14
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q1","Enfermeiro",1916
"Continente","CS ESTREITO","2018 Q1","Enfermeiro",1520
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q1","Enfermeiro",1228
"Norte","CS INGLESES","2018 Q1","Enfermeiro",3873
"Centro","CS ITACORUBI","2018 Q1","Enfermeiro",1759
"Continente","CS JARDIM ATLÂNTICO","2018 Q1","Enfermeiro",462
"Centro","CS JOÃO PAULO","2018 Q1","Enfermeiro",1313
"Norte","CS JURERE","2018 Q1","Enfermeiro",617
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q1","Enfermeiro",980
"Continente","CS MONTE CRISTO","2018 Q1","Enfermeiro",2998
"Centro","CS MONTE SERRAT","2018 Q1","Enfermeiro",2204
"Sul","CS MORRO DAS PEDRAS","2018 Q1","Enfermeiro",569
"Continente","CS NOVO CONTINENTE","2018 Q1","Enfermeiro",1701
"Centro","CS PANTANAL","2018 Q1","Enfermeiro",610
"Sul","CS PANTANO DO SUL","2018 Q1","Enfermeiro",442
"Norte","CS PONTA DAS CANAS","2018 Q1","Enfermeiro",304
"Centro","CS PRAINHA","2018 Q1","Enfermeiro",1219
"Norte","CS RATONES","2018 Q1","Enfermeiro",398
"Sul","CS RIBEIRÃO DA ILHA","2018 Q1","Enfermeiro",243
"Sul","CS RIO TAVARES","2018 Q1","Enfermeiro",801
"Norte","CS RIO VERMELHO","2018 Q1","Enfermeiro",2759
"Centro","CS SACO DOS LIMÕES","2018 Q1","Enfermeiro",1623
"Norte","CS SACO GRANDE","2018 Q1","Enfermeiro",3141
"Norte","CS SANTINHO","2018 Q1","Enfermeiro",1011
"Norte","CS SANTO ANTONIO LISBOA","2018 Q1","Enfermeiro",875
"Continente","CS SAPE","2018 Q1","Enfermeiro",723
"Sul","CS TAPERA","2018 Q1","Enfermeiro",1176
"Centro","CS TRINDADE","2018 Q1","Enfermeiro",2148
"Norte","CS VARGEM GRANDE","2018 Q1","Enfermeiro",679
"Norte","CS VARGEM PEQUENA","2018 Q1","Enfermeiro",249
"Continente","CS VILA APARECIDA","2018 Q1","Enfermeiro",305
"Continente","CS ABRAÃO","2013 Q1","Médico",1317
"Centro","CS AGRONÔMICA","2013 Q1","Médico",2083
"Sul","CS ALTO RIBEIRÃO","2013 Q1","Médico",1156
"Sul","CS ARMAÇÃO","2013 Q1","Médico",1187
"Continente","CS BALNEÁRIO","2013 Q1","Médico",911
"Norte","CS BARRA DA LAGOA","2013 Q1","Médico",1704
"Norte","CS CACHOEIRA BOM JESUS","2013 Q1","Médico",1140
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q1","Médico",491
"Sul","CS CAMPECHE","2013 Q1","Médico",1029
"Norte","CS CANASVIEIRAS","2013 Q1","Médico",2623
"Sul","CS CANTO DA LAGOA","2013 Q1","Médico",506
"Continente","CS CAPOEIRAS","2013 Q1","Médico",1509
"Sul","CS CARIANOS","2013 Q1","Médico",1125
"Centro","CS CENTRO","2013 Q1","Médico",1586
"Continente","CS COLONINHA","2013 Q1","Médico",2045
"Continente","CS COQUEIROS","2013 Q1","Médico",1766
"Centro","CS CÓRREGO GRANDE","2013 Q1","Médico",1372
"Sul","CS COSTA DA LAGOA","2013 Q1","Médico",449
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q1","Médico",1779
"Continente","CS ESTREITO","2013 Q1","Médico",2165
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q1","Médico",1137
"Norte","CS INGLESES","2013 Q1","Médico",5000
"Centro","CS ITACORUBI","2013 Q1","Médico",2290
"Continente","CS JARDIM ATLÂNTICO","2013 Q1","Médico",178
"Centro","CS JOÃO PAULO","2013 Q1","Médico",1351
"Norte","CS JURERE","2013 Q1","Médico",713
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q1","Médico",1882
"Continente","CS MONTE CRISTO","2013 Q1","Médico",3553
"Centro","CS MONTE SERRAT","2013 Q1","Médico",1781
"Sul","CS MORRO DAS PEDRAS","2013 Q1","Médico",837
"Continente","CS NOVO CONTINENTE","2013 Q1","Médico",1148
"Centro","CS PANTANAL","2013 Q1","Médico",1097
"Sul","CS PANTANO DO SUL","2013 Q1","Médico",750
"Norte","CS PONTA DAS CANAS","2013 Q1","Médico",699
"Centro","CS PRAINHA","2013 Q1","Médico",1759
"Norte","CS RATONES","2013 Q1","Médico",591
"Sul","CS RIBEIRÃO DA ILHA","2013 Q1","Médico",712
"Sul","CS RIO TAVARES","2013 Q1","Médico",1357
"Norte","CS RIO VERMELHO","2013 Q1","Médico",2847
"Centro","CS SACO DOS LIMÕES","2013 Q1","Médico",1897
"Norte","CS SACO GRANDE","2013 Q1","Médico",5707
"Norte","CS SANTINHO","2013 Q1","Médico",1206
"Norte","CS SANTO ANTONIO LISBOA","2013 Q1","Médico",1312
"Continente","CS SAPE","2013 Q1","Médico",1052
"Sul","CS TAPERA","2013 Q1","Médico",3472
"Centro","CS TRINDADE","2013 Q1","Médico",2145
"Norte","CS VARGEM GRANDE","2013 Q1","Médico",200
"Norte","CS VARGEM PEQUENA","2013 Q1","Médico",464
"Continente","CS VILA APARECIDA","2013 Q1","Médico",941
"Continente","CS ABRAÃO","2013 Q2","Médico",1497
"Centro","CS AGRONÔMICA","2013 Q2","Médico",2474
"Sul","CS ALTO RIBEIRÃO","2013 Q2","Médico",1326
"Sul","CS ARMAÇÃO","2013 Q2","Médico",1432
"Continente","CS BALNEÁRIO","2013 Q2","Médico",860
"Norte","CS BARRA DA LAGOA","2013 Q2","Médico",1825
"Norte","CS CACHOEIRA BOM JESUS","2013 Q2","Médico",1286
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q2","Médico",586
"Sul","CS CAMPECHE","2013 Q2","Médico",1248
"Norte","CS CANASVIEIRAS","2013 Q2","Médico",2878
"Sul","CS CANTO DA LAGOA","2013 Q2","Médico",678
"Continente","CS CAPOEIRAS","2013 Q2","Médico",1416
"Sul","CS CARIANOS","2013 Q2","Médico",1610
"Centro","CS CENTRO","2013 Q2","Médico",1739
"Continente","CS COLONINHA","2013 Q2","Médico",1717
"Continente","CS COQUEIROS","2013 Q2","Médico",1577
"Centro","CS CÓRREGO GRANDE","2013 Q2","Médico",1329
"Sul","CS COSTA DA LAGOA","2013 Q2","Médico",597
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q2","Médico",2138
"Continente","CS ESTREITO","2013 Q2","Médico",2040
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q2","Médico",1449
"Norte","CS INGLESES","2013 Q2","Médico",5456
"Centro","CS ITACORUBI","2013 Q2","Médico",2329
"Continente","CS JARDIM ATLÂNTICO","2013 Q2","Médico",168
"Centro","CS JOÃO PAULO","2013 Q2","Médico",1708
"Norte","CS JURERE","2013 Q2","Médico",687
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q2","Médico",1920
"Continente","CS MONTE CRISTO","2013 Q2","Médico",3748
"Centro","CS MONTE SERRAT","2013 Q2","Médico",1730
"Sul","CS MORRO DAS PEDRAS","2013 Q2","Médico",1244
"Continente","CS NOVO CONTINENTE","2013 Q2","Médico",1265
"Centro","CS PANTANAL","2013 Q2","Médico",1247
"Sul","CS PANTANO DO SUL","2013 Q2","Médico",568
"Norte","CS PONTA DAS CANAS","2013 Q2","Médico",438
"Centro","CS PRAINHA","2013 Q2","Médico",1749
"Norte","CS RATONES","2013 Q2","Médico",783
"Sul","CS RIBEIRÃO DA ILHA","2013 Q2","Médico",909
"Sul","CS RIO TAVARES","2013 Q2","Médico",1715
"Norte","CS RIO VERMELHO","2013 Q2","Médico",3432
"Centro","CS SACO DOS LIMÕES","2013 Q2","Médico",1465
"Norte","CS SACO GRANDE","2013 Q2","Médico",6335
"Norte","CS SANTINHO","2013 Q2","Médico",1143
"Norte","CS SANTO ANTONIO LISBOA","2013 Q2","Médico",1509
"Continente","CS SAPE","2013 Q2","Médico",927
"Sul","CS TAPERA","2013 Q2","Médico",4159
"Centro","CS TRINDADE","2013 Q2","Médico",2861
"Norte","CS VARGEM GRANDE","2013 Q2","Médico",177
"Norte","CS VARGEM PEQUENA","2013 Q2","Médico",502
"Continente","CS VILA APARECIDA","2013 Q2","Médico",726
"Continente","CS ABRAÃO","2013 Q3","Médico",1495
"Centro","CS AGRONÔMICA","2013 Q3","Médico",2284
"Sul","CS ALTO RIBEIRÃO","2013 Q3","Médico",1396
"Sul","CS ARMAÇÃO","2013 Q3","Médico",1368
"Continente","CS BALNEÁRIO","2013 Q3","Médico",1018
"Norte","CS BARRA DA LAGOA","2013 Q3","Médico",1863
"Norte","CS CACHOEIRA BOM JESUS","2013 Q3","Médico",1150
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q3","Médico",639
"Sul","CS CAMPECHE","2013 Q3","Médico",1256
"Norte","CS CANASVIEIRAS","2013 Q3","Médico",2695
"Sul","CS CANTO DA LAGOA","2013 Q3","Médico",610
"Continente","CS CAPOEIRAS","2013 Q3","Médico",1465
"Sul","CS CARIANOS","2013 Q3","Médico",1931
"Centro","CS CENTRO","2013 Q3","Médico",1502
"Continente","CS COLONINHA","2013 Q3","Médico",2359
"Continente","CS COQUEIROS","2013 Q3","Médico",1786
"Centro","CS CÓRREGO GRANDE","2013 Q3","Médico",1574
"Sul","CS COSTA DA LAGOA","2013 Q3","Médico",505
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q3","Médico",2250
"Continente","CS ESTREITO","2013 Q3","Médico",2295
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q3","Médico",1498
"Norte","CS INGLESES","2013 Q3","Médico",4896
"Centro","CS ITACORUBI","2013 Q3","Médico",2423
"Continente","CS JARDIM ATLÂNTICO","2013 Q3","Médico",183
"Centro","CS JOÃO PAULO","2013 Q3","Médico",1654
"Norte","CS JURERE","2013 Q3","Médico",702
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q3","Médico",1926
"Continente","CS MONTE CRISTO","2013 Q3","Médico",3595
"Centro","CS MONTE SERRAT","2013 Q3","Médico",2002
"Sul","CS MORRO DAS PEDRAS","2013 Q3","Médico",1124
"Continente","CS NOVO CONTINENTE","2013 Q3","Médico",1292
"Centro","CS PANTANAL","2013 Q3","Médico",1335
"Sul","CS PANTANO DO SUL","2013 Q3","Médico",579
"Norte","CS PONTA DAS CANAS","2013 Q3","Médico",824
"Centro","CS PRAINHA","2013 Q3","Médico",1810
"Norte","CS RATONES","2013 Q3","Médico",722
"Sul","CS RIBEIRÃO DA ILHA","2013 Q3","Médico",792
"Sul","CS RIO TAVARES","2013 Q3","Médico",1774
"Norte","CS RIO VERMELHO","2013 Q3","Médico",3159
"Centro","CS SACO DOS LIMÕES","2013 Q3","Médico",1438
"Norte","CS SACO GRANDE","2013 Q3","Médico",6631
"Norte","CS SANTINHO","2013 Q3","Médico",1093
"Norte","CS SANTO ANTONIO LISBOA","2013 Q3","Médico",1762
"Continente","CS SAPE","2013 Q3","Médico",975
"Sul","CS TAPERA","2013 Q3","Médico",4680
"Centro","CS TRINDADE","2013 Q3","Médico",2663
"Norte","CS VARGEM GRANDE","2013 Q3","Médico",180
"Norte","CS VARGEM PEQUENA","2013 Q3","Médico",509
"Continente","CS VILA APARECIDA","2013 Q3","Médico",520
"Continente","CS ABRAÃO","2013 Q4","Médico",1224
"Centro","CS AGRONÔMICA","2013 Q4","Médico",2539
"Sul","CS ALTO RIBEIRÃO","2013 Q4","Médico",1215
"Sul","CS ARMAÇÃO","2013 Q4","Médico",1600
"Continente","CS BALNEÁRIO","2013 Q4","Médico",978
"Norte","CS BARRA DA LAGOA","2013 Q4","Médico",1722
"Norte","CS CACHOEIRA BOM JESUS","2013 Q4","Médico",1364
"Sul","CS CAIEIRA BARRA DO SUL","2013 Q4","Médico",583
"Sul","CS CAMPECHE","2013 Q4","Médico",1333
"Norte","CS CANASVIEIRAS","2013 Q4","Médico",2378
"Sul","CS CANTO DA LAGOA","2013 Q4","Médico",586
"Continente","CS CAPOEIRAS","2013 Q4","Médico",1303
"Sul","CS CARIANOS","2013 Q4","Médico",2003
"Centro","CS CENTRO","2013 Q4","Médico",1884
"Continente","CS COLONINHA","2013 Q4","Médico",2155
"Continente","CS COQUEIROS","2013 Q4","Médico",1545
"Centro","CS CÓRREGO GRANDE","2013 Q4","Médico",1212
"Sul","CS COSTA DA LAGOA","2013 Q4","Médico",478
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2013 Q4","Médico",2019
"Continente","CS ESTREITO","2013 Q4","Médico",2054
"Sul","CS FAZENDA DO RIO TAVARES","2013 Q4","Médico",1420
"Norte","CS INGLESES","2013 Q4","Médico",4290
"Centro","CS ITACORUBI","2013 Q4","Médico",2478
"Continente","CS JARDIM ATLÂNTICO","2013 Q4","Médico",139
"Centro","CS JOÃO PAULO","2013 Q4","Médico",1626
"Norte","CS JURERE","2013 Q4","Médico",703
"Sul","CS LAGOA DA CONCEIÇÃO","2013 Q4","Médico",1715
"Continente","CS MONTE CRISTO","2013 Q4","Médico",3435
"Centro","CS MONTE SERRAT","2013 Q4","Médico",1791
"Sul","CS MORRO DAS PEDRAS","2013 Q4","Médico",1014
"Continente","CS NOVO CONTINENTE","2013 Q4","Médico",979
"Centro","CS PANTANAL","2013 Q4","Médico",1151
"Sul","CS PANTANO DO SUL","2013 Q4","Médico",803
"Norte","CS PONTA DAS CANAS","2013 Q4","Médico",816
"Centro","CS PRAINHA","2013 Q4","Médico",1087
"Norte","CS RATONES","2013 Q4","Médico",759
"Sul","CS RIBEIRÃO DA ILHA","2013 Q4","Médico",762
"Sul","CS RIO TAVARES","2013 Q4","Médico",1325
"Norte","CS RIO VERMELHO","2013 Q4","Médico",2839
"Centro","CS SACO DOS LIMÕES","2013 Q4","Médico",1841
"Norte","CS SACO GRANDE","2013 Q4","Médico",5214
"Norte","CS SANTINHO","2013 Q4","Médico",1152
"Norte","CS SANTO ANTONIO LISBOA","2013 Q4","Médico",1594
"Continente","CS SAPE","2013 Q4","Médico",917
"Sul","CS TAPERA","2013 Q4","Médico",3822
"Centro","CS TRINDADE","2013 Q4","Médico",2585
"Norte","CS VARGEM GRANDE","2013 Q4","Médico",137
"Norte","CS VARGEM PEQUENA","2013 Q4","Médico",548
"Continente","CS VILA APARECIDA","2013 Q4","Médico",555
"Continente","CS ABRAÃO","2014 Q1","Médico",1287
"Centro","CS AGRONÔMICA","2014 Q1","Médico",2801
"Sul","CS ALTO RIBEIRÃO","2014 Q1","Médico",1318
"Sul","CS ARMAÇÃO","2014 Q1","Médico",1604
"Continente","CS BALNEÁRIO","2014 Q1","Médico",968
"Norte","CS BARRA DA LAGOA","2014 Q1","Médico",2004
"Norte","CS CACHOEIRA BOM JESUS","2014 Q1","Médico",1404
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q1","Médico",614
"Sul","CS CAMPECHE","2014 Q1","Médico",1441
"Norte","CS CANASVIEIRAS","2014 Q1","Médico",3051
"Sul","CS CANTO DA LAGOA","2014 Q1","Médico",535
"Continente","CS CAPOEIRAS","2014 Q1","Médico",1505
"Sul","CS CARIANOS","2014 Q1","Médico",1908
"Centro","CS CENTRO","2014 Q1","Médico",1612
"Continente","CS COLONINHA","2014 Q1","Médico",2328
"Continente","CS COQUEIROS","2014 Q1","Médico",1566
"Centro","CS CÓRREGO GRANDE","2014 Q1","Médico",1256
"Sul","CS COSTA DA LAGOA","2014 Q1","Médico",456
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q1","Médico",2321
"Continente","CS ESTREITO","2014 Q1","Médico",2132
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q1","Médico",1340
"Norte","CS INGLESES","2014 Q1","Médico",5306
"Centro","CS ITACORUBI","2014 Q1","Médico",2350
"Continente","CS JARDIM ATLÂNTICO","2014 Q1","Médico",141
"Centro","CS JOÃO PAULO","2014 Q1","Médico",1841
"Norte","CS JURERE","2014 Q1","Médico",779
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q1","Médico",1918
"Continente","CS MONTE CRISTO","2014 Q1","Médico",3944
"Centro","CS MONTE SERRAT","2014 Q1","Médico",1762
"Sul","CS MORRO DAS PEDRAS","2014 Q1","Médico",1451
"Continente","CS NOVO CONTINENTE","2014 Q1","Médico",1027
"Centro","CS PANTANAL","2014 Q1","Médico",1164
"Sul","CS PANTANO DO SUL","2014 Q1","Médico",1056
"Norte","CS PONTA DAS CANAS","2014 Q1","Médico",986
"Centro","CS PRAINHA","2014 Q1","Médico",1778
"Norte","CS RATONES","2014 Q1","Médico",756
"Sul","CS RIBEIRÃO DA ILHA","2014 Q1","Médico",729
"Sul","CS RIO TAVARES","2014 Q1","Médico",1608
"Norte","CS RIO VERMELHO","2014 Q1","Médico",3228
"Centro","CS SACO DOS LIMÕES","2014 Q1","Médico",2162
"Norte","CS SACO GRANDE","2014 Q1","Médico",5814
"Norte","CS SANTINHO","2014 Q1","Médico",1223
"Norte","CS SANTO ANTONIO LISBOA","2014 Q1","Médico",2013
"Continente","CS SAPE","2014 Q1","Médico",1148
"Sul","CS TAPERA","2014 Q1","Médico",4323
"Centro","CS TRINDADE","2014 Q1","Médico",2534
"Norte","CS VARGEM GRANDE","2014 Q1","Médico",173
"Norte","CS VARGEM PEQUENA","2014 Q1","Médico",630
"Continente","CS VILA APARECIDA","2014 Q1","Médico",505
"Continente","CS ABRAÃO","2014 Q2","Médico",1400
"Centro","CS AGRONÔMICA","2014 Q2","Médico",2836
"Sul","CS ALTO RIBEIRÃO","2014 Q2","Médico",1485
"Sul","CS ARMAÇÃO","2014 Q2","Médico",1542
"Continente","CS BALNEÁRIO","2014 Q2","Médico",988
"Norte","CS BARRA DA LAGOA","2014 Q2","Médico",1829
"Norte","CS CACHOEIRA BOM JESUS","2014 Q2","Médico",1524
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q2","Médico",538
"Sul","CS CAMPECHE","2014 Q2","Médico",1224
"Norte","CS CANASVIEIRAS","2014 Q2","Médico",2847
"Sul","CS CANTO DA LAGOA","2014 Q2","Médico",634
"Continente","CS CAPOEIRAS","2014 Q2","Médico",1096
"Sul","CS CARIANOS","2014 Q2","Médico",1755
"Centro","CS CENTRO","2014 Q2","Médico",2029
"Continente","CS COLONINHA","2014 Q2","Médico",2018
"Continente","CS COQUEIROS","2014 Q2","Médico",1769
"Centro","CS CÓRREGO GRANDE","2014 Q2","Médico",1347
"Sul","CS COSTA DA LAGOA","2014 Q2","Médico",503
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q2","Médico",2190
"Continente","CS ESTREITO","2014 Q2","Médico",1906
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q2","Médico",1497
"Norte","CS INGLESES","2014 Q2","Médico",4768
"Centro","CS ITACORUBI","2014 Q2","Médico",2389
"Continente","CS JARDIM ATLÂNTICO","2014 Q2","Médico",597
"Centro","CS JOÃO PAULO","2014 Q2","Médico",1724
"Norte","CS JURERE","2014 Q2","Médico",669
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q2","Médico",2375
"Continente","CS MONTE CRISTO","2014 Q2","Médico",3940
"Centro","CS MONTE SERRAT","2014 Q2","Médico",1919
"Sul","CS MORRO DAS PEDRAS","2014 Q2","Médico",1320
"Continente","CS NOVO CONTINENTE","2014 Q2","Médico",727
"Centro","CS PANTANAL","2014 Q2","Médico",1324
"Sul","CS PANTANO DO SUL","2014 Q2","Médico",995
"Norte","CS PONTA DAS CANAS","2014 Q2","Médico",899
"Centro","CS PRAINHA","2014 Q2","Médico",1604
"Norte","CS RATONES","2014 Q2","Médico",833
"Sul","CS RIBEIRÃO DA ILHA","2014 Q2","Médico",871
"Sul","CS RIO TAVARES","2014 Q2","Médico",2065
"Norte","CS RIO VERMELHO","2014 Q2","Médico",3441
"Centro","CS SACO DOS LIMÕES","2014 Q2","Médico",2143
"Norte","CS SACO GRANDE","2014 Q2","Médico",5337
"Norte","CS SANTINHO","2014 Q2","Médico",1077
"Norte","CS SANTO ANTONIO LISBOA","2014 Q2","Médico",1623
"Continente","CS SAPE","2014 Q2","Médico",903
"Sul","CS TAPERA","2014 Q2","Médico",4554
"Centro","CS TRINDADE","2014 Q2","Médico",2138
"Norte","CS VARGEM GRANDE","2014 Q2","Médico",161
"Norte","CS VARGEM PEQUENA","2014 Q2","Médico",599
"Continente","CS VILA APARECIDA","2014 Q2","Médico",733
"Continente","CS ABRAÃO","2014 Q3","Médico",1621
"Centro","CS AGRONÔMICA","2014 Q3","Médico",2445
"Sul","CS ALTO RIBEIRÃO","2014 Q3","Médico",1515
"Sul","CS ARMAÇÃO","2014 Q3","Médico",1759
"Continente","CS BALNEÁRIO","2014 Q3","Médico",1129
"Norte","CS BARRA DA LAGOA","2014 Q3","Médico",2016
"Norte","CS CACHOEIRA BOM JESUS","2014 Q3","Médico",1701
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q3","Médico",643
"Sul","CS CAMPECHE","2014 Q3","Médico",1696
"Norte","CS CANASVIEIRAS","2014 Q3","Médico",3221
"Sul","CS CANTO DA LAGOA","2014 Q3","Médico",692
"Continente","CS CAPOEIRAS","2014 Q3","Médico",1314
"Sul","CS CARIANOS","2014 Q3","Médico",1940
"Centro","CS CENTRO","2014 Q3","Médico",1813
"Continente","CS COLONINHA","2014 Q3","Médico",2043
"Continente","CS COQUEIROS","2014 Q3","Médico",1987
"Centro","CS CÓRREGO GRANDE","2014 Q3","Médico",1522
"Sul","CS COSTA DA LAGOA","2014 Q3","Médico",542
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q3","Médico",2408
"Continente","CS ESTREITO","2014 Q3","Médico",2256
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q3","Médico",1737
"Norte","CS INGLESES","2014 Q3","Médico",5750
"Centro","CS ITACORUBI","2014 Q3","Médico",2833
"Continente","CS JARDIM ATLÂNTICO","2014 Q3","Médico",846
"Centro","CS JOÃO PAULO","2014 Q3","Médico",1811
"Norte","CS JURERE","2014 Q3","Médico",869
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q3","Médico",2654
"Continente","CS MONTE CRISTO","2014 Q3","Médico",4541
"Centro","CS MONTE SERRAT","2014 Q3","Médico",1760
"Sul","CS MORRO DAS PEDRAS","2014 Q3","Médico",1589
"Continente","CS NOVO CONTINENTE","2014 Q3","Médico",866
"Centro","CS PANTANAL","2014 Q3","Médico",1349
"Sul","CS PANTANO DO SUL","2014 Q3","Médico",1056
"Norte","CS PONTA DAS CANAS","2014 Q3","Médico",1013
"Centro","CS PRAINHA","2014 Q3","Médico",1540
"Norte","CS RATONES","2014 Q3","Médico",781
"Sul","CS RIBEIRÃO DA ILHA","2014 Q3","Médico",913
"Sul","CS RIO TAVARES","2014 Q3","Médico",1971
"Norte","CS RIO VERMELHO","2014 Q3","Médico",3802
"Centro","CS SACO DOS LIMÕES","2014 Q3","Médico",2270
"Norte","CS SACO GRANDE","2014 Q3","Médico",5740
"Norte","CS SANTINHO","2014 Q3","Médico",1413
"Norte","CS SANTO ANTONIO LISBOA","2014 Q3","Médico",2040
"Continente","CS SAPE","2014 Q3","Médico",1227
"Sul","CS TAPERA","2014 Q3","Médico",4767
"Centro","CS TRINDADE","2014 Q3","Médico",2773
"Norte","CS VARGEM GRANDE","2014 Q3","Médico",179
"Norte","CS VARGEM PEQUENA","2014 Q3","Médico",597
"Continente","CS VILA APARECIDA","2014 Q3","Médico",858
"Continente","CS ABRAÃO","2014 Q4","Médico",1267
"Centro","CS AGRONÔMICA","2014 Q4","Médico",2515
"Sul","CS ALTO RIBEIRÃO","2014 Q4","Médico",1355
"Sul","CS ARMAÇÃO","2014 Q4","Médico",1743
"Continente","CS BALNEÁRIO","2014 Q4","Médico",1084
"Norte","CS BARRA DA LAGOA","2014 Q4","Médico",1698
"Norte","CS CACHOEIRA BOM JESUS","2014 Q4","Médico",1588
"Sul","CS CAIEIRA BARRA DO SUL","2014 Q4","Médico",288
"Sul","CS CAMPECHE","2014 Q4","Médico",1354
"Norte","CS CANASVIEIRAS","2014 Q4","Médico",2546
"Sul","CS CANTO DA LAGOA","2014 Q4","Médico",646
"Continente","CS CAPOEIRAS","2014 Q4","Médico",1423
"Sul","CS CARIANOS","2014 Q4","Médico",1545
"Centro","CS CENTRO","2014 Q4","Médico",1626
"Continente","CS COLONINHA","2014 Q4","Médico",1618
"Continente","CS COQUEIROS","2014 Q4","Médico",1740
"Centro","CS CÓRREGO GRANDE","2014 Q4","Médico",1259
"Sul","CS COSTA DA LAGOA","2014 Q4","Médico",462
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2014 Q4","Médico",2154
"Continente","CS ESTREITO","2014 Q4","Médico",1800
"Sul","CS FAZENDA DO RIO TAVARES","2014 Q4","Médico",1324
"Norte","CS INGLESES","2014 Q4","Médico",4998
"Centro","CS ITACORUBI","2014 Q4","Médico",2368
"Continente","CS JARDIM ATLÂNTICO","2014 Q4","Médico",699
"Centro","CS JOÃO PAULO","2014 Q4","Médico",1789
"Norte","CS JURERE","2014 Q4","Médico",625
"Sul","CS LAGOA DA CONCEIÇÃO","2014 Q4","Médico",2431
"Continente","CS MONTE CRISTO","2014 Q4","Médico",4791
"Centro","CS MONTE SERRAT","2014 Q4","Médico",1479
"Sul","CS MORRO DAS PEDRAS","2014 Q4","Médico",1177
"Continente","CS NOVO CONTINENTE","2014 Q4","Médico",868
"Centro","CS PANTANAL","2014 Q4","Médico",1108
"Sul","CS PANTANO DO SUL","2014 Q4","Médico",732
"Norte","CS PONTA DAS CANAS","2014 Q4","Médico",1168
"Centro","CS PRAINHA","2014 Q4","Médico",1169
"Norte","CS RATONES","2014 Q4","Médico",807
"Sul","CS RIBEIRÃO DA ILHA","2014 Q4","Médico",748
"Sul","CS RIO TAVARES","2014 Q4","Médico",2066
"Norte","CS RIO VERMELHO","2014 Q4","Médico",3576
"Centro","CS SACO DOS LIMÕES","2014 Q4","Médico",2009
"Norte","CS SACO GRANDE","2014 Q4","Médico",5373
"Norte","CS SANTINHO","2014 Q4","Médico",1314
"Norte","CS SANTO ANTONIO LISBOA","2014 Q4","Médico",1722
"Continente","CS SAPE","2014 Q4","Médico",1172
"Sul","CS TAPERA","2014 Q4","Médico",4276
"Centro","CS TRINDADE","2014 Q4","Médico",2987
"Norte","CS VARGEM GRANDE","2014 Q4","Médico",166
"Norte","CS VARGEM PEQUENA","2014 Q4","Médico",580
"Continente","CS VILA APARECIDA","2014 Q4","Médico",852
"Continente","CS ABRAÃO","2015 Q1","Médico",1171
"Centro","CS AGRONÔMICA","2015 Q1","Médico",2638
"Sul","CS ALTO RIBEIRÃO","2015 Q1","Médico",1062
"Sul","CS ARMAÇÃO","2015 Q1","Médico",1806
"Continente","CS BALNEÁRIO","2015 Q1","Médico",887
"Norte","CS BARRA DA LAGOA","2015 Q1","Médico",1932
