"DISTRITO","UNIDADE","TRIMESTRE","PROCEDIMENTO","VALOR"
"Norte","CS VARGEM GRANDE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Norte","CS VARGEM PEQUENA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS VILA APARECIDA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",1
"Continente","CS ABRAÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS AGRONÔMICA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Sul","CS ALTO RIBEIRÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS ARMAÇÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Continente","CS BALNEÁRIO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Norte","CS BARRA DA LAGOA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Norte","CS CACHOEIRA BOM JESUS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Sul","CS CAIEIRA BARRA DO SUL","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS CAMPECHE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Norte","CS CANASVIEIRAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",19
"Sul","CS CANTO DA LAGOA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS CAPOEIRAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",7
"Sul","CS CARIANOS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",17
"Centro","CS CENTRO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",34
"Continente","CS COLONINHA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",22
"Continente","CS COQUEIROS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Centro","CS CÓRREGO GRANDE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Continente","CS ESTREITO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",17
"Norte","CS INGLESES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",12
"Centro","CS ITACORUBI","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",80
"Continente","CS JARDIM ATLÂNTICO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",28
"Centro","CS JOÃO PAULO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Norte","CS JURERE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",3
"Sul","CS LAGOA DA CONCEIÇÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",24
"Continente","CS MONTE CRISTO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",19
"Centro","CS MONTE SERRAT","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",16
"Sul","CS MORRO DAS PEDRAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Continente","CS NOVO CONTINENTE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS PANTANAL","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",20
"Sul","CS PANTANO DO SUL","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Norte","CS PONTA DAS CANAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Centro","CS PRAINHA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Norte","CS RATONES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",27
"Sul","CS RIBEIRÃO DA ILHA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",5
"Sul","CS RIO TAVARES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Norte","CS RIO VERMELHO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Centro","CS SACO DOS LIMÕES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",17
"Norte","CS SACO GRANDE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",30
"Norte","CS SANTINHO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",6
"Norte","CS SANTO ANTONIO LISBOA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",2
"Continente","CS SAPE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",9
"Sul","CS TAPERA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",11
"Centro","CS TRINDADE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",24
"Norte","CS VARGEM GRANDE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",16
"Norte","CS VARGEM PEQUENA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C",4
"Sul","CS ARMAÇÃO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Norte","CS CACHOEIRA BOM JESUS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",16
"Sul","CS CAMPECHE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Continente","CS CAPOEIRAS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Sul","CS CARIANOS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Centro","CS CENTRO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS COLONINHA","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Continente","CS COQUEIROS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Centro","CS CÓRREGO GRANDE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Continente","CS ESTREITO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Norte","CS INGLESES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Centro","CS ITACORUBI","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",18
"Continente","CS JARDIM ATLÂNTICO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",19
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Continente","CS MONTE CRISTO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Centro","CS MONTE SERRAT","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",7
"Sul","CS MORRO DAS PEDRAS","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Sul","CS PANTANO DO SUL","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Norte","CS RATONES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",11
"Centro","CS SACO DOS LIMÕES","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Norte","CS SACO GRANDE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS SANTINHO","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS SAPE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Sul","CS TAPERA","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",23
"Centro","CS TRINDADE","2017 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Continente","CS ABRAÃO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Centro","CS AGRONÔMICA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS ALTO RIBEIRÃO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS ARMAÇÃO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Continente","CS BALNEÁRIO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS CACHOEIRA BOM JESUS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",36
"Sul","CS CAMPECHE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Norte","CS CANASVIEIRAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS CANTO DA LAGOA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Continente","CS CAPOEIRAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Centro","CS CENTRO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS COLONINHA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Continente","CS COQUEIROS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",8
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS ESTREITO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Norte","CS INGLESES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Centro","CS ITACORUBI","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",34
"Continente","CS JARDIM ATLÂNTICO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",24
"Centro","CS JOÃO PAULO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Continente","CS MONTE CRISTO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",14
"Centro","CS MONTE SERRAT","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Sul","CS MORRO DAS PEDRAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS NOVO CONTINENTE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Centro","CS PANTANAL","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS PANTANO DO SUL","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",14
"Norte","CS PONTA DAS CANAS","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Centro","CS PRAINHA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Norte","CS RATONES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",15
"Sul","CS RIBEIRÃO DA ILHA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Norte","CS RIO VERMELHO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Centro","CS SACO DOS LIMÕES","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS SACO GRANDE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS SANTINHO","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Continente","CS SAPE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS TAPERA","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",18
"Centro","CS TRINDADE","2017 Q2","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Centro","CS AGRONÔMICA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS ARMAÇÃO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",14
"Continente","CS BALNEÁRIO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS BARRA DA LAGOA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Norte","CS CACHOEIRA BOM JESUS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",43
"Sul","CS CAMPECHE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Norte","CS CANASVIEIRAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Continente","CS CAPOEIRAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Sul","CS CARIANOS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",16
"Centro","CS CENTRO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Continente","CS COLONINHA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Continente","CS COQUEIROS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Centro","CS CÓRREGO GRANDE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS ESTREITO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",8
"Norte","CS INGLESES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Centro","CS ITACORUBI","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",54
"Continente","CS JARDIM ATLÂNTICO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",26
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",7
"Continente","CS MONTE CRISTO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Centro","CS MONTE SERRAT","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",7
"Sul","CS MORRO DAS PEDRAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Continente","CS NOVO CONTINENTE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Centro","CS PANTANAL","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",11
"Sul","CS PANTANO DO SUL","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",18
"Norte","CS PONTA DAS CANAS","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Centro","CS PRAINHA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Norte","CS RATONES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",33
"Sul","CS RIBEIRÃO DA ILHA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",8
"Sul","CS RIO TAVARES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Norte","CS RIO VERMELHO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Centro","CS SACO DOS LIMÕES","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS SACO GRANDE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",8
"Norte","CS SANTINHO","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Continente","CS SAPE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS TAPERA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",15
"Centro","CS TRINDADE","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",10
"Norte","CS VARGEM PEQUENA","2017 Q3","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Continente","CS ABRAÃO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Centro","CS AGRONÔMICA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Sul","CS ARMAÇÃO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Continente","CS BALNEÁRIO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS BARRA DA LAGOA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Norte","CS CACHOEIRA BOM JESUS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",19
"Sul","CS CAIEIRA BARRA DO SUL","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS CAMPECHE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Norte","CS CANASVIEIRAS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS CANTO DA LAGOA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Continente","CS CAPOEIRAS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Sul","CS CARIANOS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Centro","CS CENTRO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",21
"Continente","CS COLONINHA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Continente","CS COQUEIROS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",8
"Centro","CS CÓRREGO GRANDE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Continente","CS ESTREITO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Sul","CS FAZENDA DO RIO TAVARES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",12
"Norte","CS INGLESES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Centro","CS ITACORUBI","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",70
"Continente","CS JARDIM ATLÂNTICO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",28
"Centro","CS JOÃO PAULO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Sul","CS LAGOA DA CONCEIÇÃO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Continente","CS MONTE CRISTO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",16
"Centro","CS MONTE SERRAT","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",5
"Centro","CS PANTANAL","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",11
"Sul","CS PANTANO DO SUL","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Norte","CS PONTA DAS CANAS","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",7
"Norte","CS RATONES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",25
"Sul","CS RIBEIRÃO DA ILHA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Sul","CS RIO TAVARES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Norte","CS RIO VERMELHO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Centro","CS SACO DOS LIMÕES","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",18
"Norte","CS SACO GRANDE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Norte","CS SANTINHO","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",7
"Norte","CS SANTO ANTONIO LISBOA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS SAPE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Sul","CS TAPERA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",31
"Centro","CS TRINDADE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",15
"Norte","CS VARGEM GRANDE","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Norte","CS VARGEM PEQUENA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS VILA APARECIDA","2017 Q4","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Continente","CS ABRAÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Centro","CS AGRONÔMICA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Sul","CS ALTO RIBEIRÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",1
"Sul","CS ARMAÇÃO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",11
"Continente","CS BALNEÁRIO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",12
"Norte","CS BARRA DA LAGOA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",3
"Norte","CS CACHOEIRA BOM JESUS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",12
"Sul","CS CAMPECHE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Norte","CS CANASVIEIRAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",13
"Sul","CS CANTO DA LAGOA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS CAPOEIRAS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",6
"Sul","CS CARIANOS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",17
"Centro","CS CENTRO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",31
"Continente","CS COLONINHA","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",24
"Continente","CS COQUEIROS","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Centro","CS CÓRREGO GRANDE","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",10
"Sul","CS COSTEIRA DO PIRAJUBAÉ","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",2
"Continente","CS ESTREITO","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",4
"Sul","CS FAZENDA DO RIO TAVARES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",18
"Norte","CS INGLESES","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",9
"Centro","CS ITACORUBI","2018 Q1","TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV",74
